UKPRN,PROVIDER_NAME,ALIAS_TEXT,FLAT_NAME_NUMBER,BUILDING_NAME_NUMBER,STREET_NAME,LOCALITY,TOWN,COUNTY,POSTCODE,WEBSITE_ADDRESS,,Latitude,Longitude,Easting,Northing
10000291,ANGLIA RUSKIN UNIVERSITY,,,,BISHOP HALL LANE,,CHELMSFORD,,CM1 1SQ,www.anglia.ac.uk,,51.741259,0.474285,570928,207625
10000385,"ARTS UNIVERSITY BOURNEMOUTH, THE",,,7,FERN BARROW,,POOLE,DORSET,BH12 5HH,www.aub.ac.uk,,50.741796,-1.897709,407314,93581
10000571,BATH SPA UNIVERSITY,,,NEWTON PARK,,NEWTON ST. LOE,BATH,,BA2 9BN,www.bathspa.ac.uk,,51.375939,-2.437936,369615,164189
10000712,UNIVERSITY COLLEGE BIRMINGHAM,,,,SUMMER ROW,,BIRMINGHAM,,B3 1JB,www.ucb.ac.uk,,52.481843,-1.905939,406485,287106
10000824,BOURNEMOUTH UNIVERSITY,,POOLE HOUSE,TALBOT CAMPUS,FERN BARROW,,POOLE,DORSET,BH12 5BB,www.bournemouth.ac.uk,,50.742982,-1.897168,407352,93713
10000886,UNIVERSITY OF BRIGHTON,,,MITHRAS HOUSE,LEWES ROAD,,BRIGHTON,,BN2 4AT,www.brighton.ac.uk,,50.842028,-0.119513,532496,106407
10000961,BRUNEL UNIVERSITY,Brunel University London,,,KINGSTON LANE,,UXBRIDGE,MIDDLESEX,UB8 3PH,www.brunel.ac.uk,,51.532848,-0.472855,506024,182654
10000975,BUCKINGHAMSHIRE NEW UNIVERSITY,,,HIGH WYCOMBE CAMPUS,QUEEN ALEXANDRA ROAD,,HIGH WYCOMBE,BUCKINGHAMSHIRE,HP11 2JZ,www.bucks.ac.uk,,51.627854,-0.752537,486445,192852
10001143,CANTERBURY CHRIST CHURCH UNIVERSITY,,,,ST. GEORGES PLACE,,CANTERBURY,KENT,CT1 1UT,www.canterbury.ac.uk,,51.27585,1.085424,615297,157489
10001282,NORTHUMBRIA UNIVERSITY NEWCASTLE,,,ELLISON BUILDING,ELLISON ROAD,,Newcastle Upon Tyne,,NE1 8ST,www.northumbria.ac.uk,,54.976765,-1.607498,425221,564754
10001478,THE CITY UNIVERSITY,City University London,,,NORTHAMPTON SQUARE,,LONDON,,EC1V 0HB,www.city.ac.uk,,51.52779,-0.102322,531738,182693
10001653,THE CONSERVATOIRE FOR DANCE AND DRAMA,,,TAVISTOCK HOUSE,TAVISTOCK SQUARE,,LONDON,,WC1H 9JJ,www.cdd.ac.uk,,51.526206,-0.129115,529884,182469
10001726,COVENTRY UNIVERSITY,,,,PRIORY STREET,,COVENTRY,,CV1 5FB,www.coventry.ac.uk,,52.405317,-1.500063,434108,278707
10001883,DE MONTFORT UNIVERSITY,,,,THE GATEWAY,,LEICESTER,,LE1 9BH,www.dmu.ac.uk,,52.629469,-1.138036,458439,303872
